FLIGHT_ID,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_DELAY,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
1107910,3,13,5,AA,232,N4YLAA,ATL,DFW,1909,32.0,163.0,111.0,731,2112.0,12.0,2041,2124.0,43.0,11.0,0.0,0.0,32.0,0.0
2698842,6,19,5,DL,1839,N932DL,DCA,ATL,1500,22.0,97.0,75.0,547,1651.0,8.0,1656,1659.0,3.0,,,,,
5491531,12,10,4,AA,2616,N3BFAA,BOS,JFK,1800,-4.0,77.0,45.0,187,1900.0,13.0,1924,1913.0,-11.0,,,,,
4123841,9,14,1,WN,301,N563WN,PDX,OAK,1055,-6.0,101.0,84.0,543,1224.0,6.0,1240,1230.0,-10.0,,,,,
2592037,6,13,6,AS,12,N462AS,SEA,BOS,930,-4.0,300.0,278.0,2496,1717.0,9.0,1755,1726.0,-29.0,,,,,
268891,1,18,7,AA,2414,N3GEAA,DFW,EWR,1615,-2.0,227.0,183.0,1372,2054.0,6.0,2021,2100.0,39.0,39.0,0.0,0.0,0.0,0.0
406812,1,27,2,EV,4207,N11547,DCA,CLE,1728,-6.0,72.0,57.0,310,1827.0,7.0,1856,1834.0,-22.0,,,,,
999969,3,7,6,US,776,N191UW,SFO,PHX,915,-9.0,115.0,94.0,651,1157.0,4.0,1209,1201.0,-8.0,,,,,
879546,2,27,5,US,1766,N711UW,CLT,DCA,1455,-1.0,77.0,50.0,331,1606.0,5.0,1615,1611.0,-4.0,,,,,
3678157,8,17,1,WN,420,N222WN,DCA,ATL,600,-5.0,111.0,82.0,547,737.0,9.0,800,746.0,-14.0,,,,,
5118827,11,16,1,AS,29,N305AS,ORD,SEA,1525,17.0,260.0,238.0,1721,1753.0,9.0,1804,1802.0,-2.0,,,,,
2504270,6,8,1,US,531,N751UW,CMH,PHX,745,-8.0,259.0,240.0,1670,848.0,8.0,902,856.0,-6.0,,,,,
22333,1,2,5,AA,1023,N4YRAA,AUS,DFW,1330,-6.0,55.0,38.0,190,1415.0,4.0,1435,1419.0,-16.0,,,,,
3313798,7,26,7,WN,250,N464WN,PDX,SMF,1230,-1.0,82.0,70.0,479,1347.0,4.0,1355,1351.0,-4.0,,,,,
1243180,3,22,7,AA,309,N569AA,BNA,DFW,920,-6.0,127.0,99.0,631,1114.0,7.0,1130,1121.0,-9.0,,,,,
484424,2,2,1,NK,417,N587NK,DTW,FLL,630,44.0,220.0,161.0,1127,1046.0,8.0,936,1054.0,78.0,34.0,0.0,0.0,0.0,44.0
1286685,3,24,2,WN,151,N8629A,MDW,SAN,1925,-1.0,275.0,236.0,1728,2149.0,10.0,2155,2159.0,4.0,,,,,
2668558,6,17,3,DL,1688,N347NW,DEN,SLC,1919,1.0,73.0,59.0,391,2028.0,5.0,2051,2033.0,-18.0,,,,,
607536,2,10,2,UA,264,N805UA,SLC,IAH,805,-5.0,160.0,143.0,1195,1133.0,7.0,1200,1140.0,-20.0,,,,,
5700209,12,24,4,AA,763,N769US,IND,LAX,605,-2.0,319.0,299.0,1814,816.0,6.0,803,822.0,19.0,19.0,0.0,0.0,0.0,0.0
4308222,9,25,5,DL,1566,N3752,LAX,RDU,2205,-1.0,289.0,274.0,2239,545.0,8.0,553,553.0,0.0,,,,,
4140426,9,15,2,WN,2736,N938WN,AUS,LAX,1125,-5.0,235.0,174.0,1242,1222.0,53.0,1240,1315.0,35.0,35.0,0.0,0.0,0.0,0.0
